,genres,id,release_date,title,vote_average
33358,Animation,252983,2017-12-31,Sly Cooper,0
43042,Drama,84167,2012-01-25,About The Pink Sky,0
37785,Documentary,68048,2009-07-14,FLicKeR,0
15865,Drama,125946,2002-05-21,The Last Letter,0
26911,Action,23853,2002-05-21,Wish You Were Dead,0
38675,Drama,84741,2009-07-12,Courage,0
34205,Music,213556,1979-01-01,To Russia... With Elton,0
41824,War,32594,1979-01-01,Ecaterina Teodoroiu,0
29554,Adventure,134608,1963-04-13,The Castilian,0
25174,Comedy,134355,1957-06-20,The Happy Road,0
30874,Thriller,64465,1971-10-27,"The Case Is Closed, Forget It",0
22358,Romance,398452,2012-02-04,The Wooden Bridge,0
15864,Drama,342218,1979-01-13,The Eighth Day,0
2517,Thriller,95627,1998-08-14,Frogs for Snakes,0
25651,Documentary,84193,2012-01-20,Ethel,0
42344,Drama,265432,2004-06-18,Hunger auf Leben,0
44034,Drama,104674,1957-06-01,Bayou,0
20611,Documentary,206266,2012-02-07,Shining Night: A Portrait of Composer Morten Lauridsen,0
26719,History,1849,1963-04-30,Nine Hours to Rama,0
36563,Drama,127531,2004-06-25,Deewaar: Let's Bring Our Heroes Home,0
16302,Drama,83036,1998-08-08,Titanic Town,0
21111,Drama,119838,1979-02-11,Julius Caesar,0
31467,Drama,219248,1999-12-21,Wicked Ways,0
13463,Comedy,38789,1995-09-30,I Manegen med Glenn Killing: Live från Berns,0
26459,Comedy,224937,1992-03-01,Nervous Ticks,0
42184,Mystery,256166,1979-02-17,Murder by Natural Causes,0
37073,Drama,308671,2004-06-27,"Meine Frau, meine Freunde und ich",0
35774,Animation,215408,2009-06-19,The Aviators,0
36040,Documentary,276883,2014-06-19,The Homestretch,0
31501,Crime,88658,1989-05-19,Cold Feet,0
15273,Documentary,115064,2009-06-16,Supermen of Malegaon,0
38094,Drama,297063,1995-09-26,Sven's Secret,0
35089,Adventure,338438,1963-03-29,The Invincible Masked Rider,0
31324,Thriller,260840,1978-10-08,Casa dell'amore... la polizia interviene,0
44293,Drama,407575,2015-08-08,Rosa Chumbe,0
9149,Documentary,57644,1994-10-04,The Smashing Pumpkins: Vieuphoria,0
32475,Comedy,92292,1971-12-22,Star Spangled Girl,0
33437,Drama,327655,1978-10-17,Nina,0
17467,Documentary,62106,2009-08-14,Earth Days,0
40886,TV Movie,318184,2012-01-11,Umbkotid,0
23548,Drama,83406,2012-01-12,Northeast,0
39542,Mystery,82664,2012-01-12,Reality XL,0
18479,Comedy,122515,1978-11-01,The Great Bank Hoax,0
35216,Comedy,299165,1978-11-03,Nunca en horas de clase,0
17032,Romance,125874,2009-08-06,Love & Savagery,0
1763,Romance,49474,1995-09-16,Go Now,0
14688,Action,144089,1978-12-22,"The Actress, the Dollars and the Transylvanians",0
39838,Crime,105672,1978-11-24,The Perfect Crime,0
43476,Romance,452606,1978-12-01,Sultan,0
27194,Drama,142254,1957-08-02,Jeanne Eagels,0
11717,Drama,297853,2002-06-05,Turn of Faith,0
19960,Documentary,80387,2012-01-20,Carol Channing: Larger Than Life,0
40470,Drama,406970,2015-08-19,My Lonely Me,0
32357,Crime,135510,1978-12-08,Deadly Chase,0
26164,Romance,167882,1978-12-08,The Gift of Love,0
31360,Crime,107262,1978-12-09,A Real American Hero,0
36790,Drama,282086,2004-06-01,Shark in the Head,0
24279,Crime,88375,1971-12-01,Chandler,0
25540,Drama,293380,1978-12-17,The Nativity,0
20948,Drama,106388,1978-12-17,As You Like It,0
23022,Comedy,101242,2009-07-31,Love Simple,0
40141,Action,247488,2004-05-26,"Cheating Death, Stealing Life: The Eddie Guerrero Story",0
41324,Drama,38625,2009-06-13,Battle Under Orion,0
28802,Crime,252888,1971-10-09,Thief,0
30841,Action,213095,1979-03-08,Bersaglio altezza uomo,0
34398,War,277435,2014-06-13,Stray Dog,0
35655,Drama,142085,2009-05-16,Lost Persons Area,0
29667,Western,151423,1971-09-06,Let's Go And Kill Sartana,0
43677,Adventure,309898,1979-06-06,Breakfast on the Grass,0
36801,Documentary,269843,2009-05-14,Fear,0
29285,Comedy,89909,1989-04-14,Under the Boardwalk,0
42285,Comedy,127021,1998-07-02,Dibu 2: La venganza de Nasty,0
44423,Drama,419601,1979-07-06,Поэма о крыльях,0
37274,Drama,295782,2009-04-29,"Die Frau, die im Wald verschwand",0
33428,Drama,357784,2015-09-17,Roukli,0
33455,Comedy,322453,2002-04-17,Assassini dei giorni di festa,0
4133,Drama,70282,2000-01-01,The Visit,0
41711,Mystery,360022,2015-09-18,"Kiss Me, Kill Me",0
40546,Documentary,355771,2015-09-11,Return of the Atom,0
27615,Drama,269070,1963-06-26,Stop Train 349,0
40219,Drama,360809,2015-09-18,Pikadero,0
36857,Comedy,316111,1971-08-18,Riuscirà l'avvocato Franco Benenato a sconfiggere il suo acerrimo nemico il pretore Ciccio De Ingras?,0
26136,Crime,260872,1979-08-24,The New Godfathers,0
40759,Documentary,322455,1979-08-31,The Burgos Trial,0
